HIP,Radeg,Dedeg,Hpmag
7463,24.03512086,-29.9074341,5.7687
7493,24.11339245,48.72282135,6.3598
7505,24.18134719,7.83150677,6.454
7506,24.18654131,-58.27096783,6.2334
7513,24.19990403,41.40638473,4.2118
7535,24.27483894,12.14151075,5.6279
7568,24.36575014,-84.76964997,5.8263
7580,24.40648899,-9.40405168,6.3546
7588,24.42813208,-57.23665985,0.4233
7601,24.47908317,-82.97528853,6.0069
7607,24.49792632,48.62848635,3.7515
7617,24.53151508,57.97764481,5.7152
7643,24.61455921,-36.52795345,6.1048
7650,24.62892061,73.04007186,5.4463
7651,24.63265676,45.39970531,6.3812
7679,24.71544936,-21.2754746,5.6627
7719,24.83757933,44.3861281,5.1627
7740,24.91986642,16.40588614,6.1499
7751,24.94684868,-56.19644225,5.9046
7786,25.05465447,53.86828902,6.4642
7818,25.14501738,40.57710615,4.9376
7819,25.1453595,8.76076512,6.4337
7825,25.1648354,43.29776345,5.6994
7874,25.32624348,25.74581085,6.2989
7879,25.33868887,-79.14825411,6.4936
7884,25.35794833,5.48760467,4.5914
7886,25.36368447,-38.13296434,6.2897
7906,25.41350943,30.04713545,6.1307
7916,25.43665915,-11.323668,5.8455
7918,25.44381588,42.6138069,5.0839
7921,25.44980041,-60.78924089,5.8647
7941,25.51256353,-36.83226419,5.7106
7943,25.51439553,35.24576693,5.6163
7955,25.53602204,-32.32685731,5.4202
7963,25.57369219,58.62775844,6.3509
7965,25.58518454,68.04304645,5.5571
7978,25.62146269,-53.74057473,5.6378
7981,25.62479066,20.27015048,5.3905
7999,25.68132061,-3.6901168,5.1677
8016,25.73220422,70.62255893,5.1822
8020,25.74298821,61.42109584,6.3413
8046,25.83223957,60.55137088,5.7809
8068,25.91506366,50.68876539,3.9801
8086,25.95895129,32.19201135,6.4723
8094,25.9783752,-4.76543978,6.3301
8102,26.02136459,-15.93955572,3.6295
8115,26.07464095,57.53666146,6.2331
8127,26.11055427,46.1397685,6.4567
8148,26.19229542,57.0892214,6.2711
8159,26.2327193,20.08340554,6.4169
8198,26.34828635,9.15764141,4.4267
8209,26.41106045,-25.05243389,5.3833
8230,26.49694066,-5.73322714,5.4934
8233,26.50414387,-27.34872126,6.4699
8240,26.52469182,-50.81621315,5.5513
8241,26.52557875,-53.52218046,5.0555
8320,26.81955806,-41.76004473,6.2954
8362,26.93360061,63.85310133,5.7673
8366,26.94453866,-80.1761691,6.1335
8369,26.94903416,-37.1595326,6.4901
8370,26.95001192,46.22988453,6.4284
8387,27.04542776,16.95563078,5.853
8404,27.10843264,3.68540397,6.0728
8423,27.1618413,37.95293567,6.1018
8433,27.17366168,32.68948708,5.9059
8475,27.31483875,47.89695135,6.0724
8497,27.39662951,-10.68618052,4.7411
8514,27.4535943,-38.40348311,6.4809
8544,27.53575106,22.27535615,5.9716
8552,27.58367025,-47.81650898,6.3064
8588,27.71672501,11.0434459,6.0012
8593,27.72699465,-50.20612721,5.9906
8598,27.73786891,51.93369796,6.0571
8645,27.8650443,-10.33494527,3.9067
8704,27.99711382,55.14740474,5.469
8714,28.03897532,50.79286353,5.6854
8771,28.21140488,51.47485295,6.3028
8778,28.21703195,-16.92912377,5.8565
8796,28.27041599,29.57939714,3.521
8814,28.32229933,40.72979984,5.5725
8820,28.34615315,-38.59470333,6.2597
8832,28.38235766,19.29409257,3.8584
8833,28.38890184,3.18747844,4.7687
8837,28.41174873,-46.30244641,4.4099
8882,28.59191793,-42.49688106,5.106
8886,28.59868112,63.67014682,3.3107
8903,28.65978905,20.80829983,2.7044
8922,28.7239567,40.70220076,6.4076
8928,28.73339493,-67.64748114,4.8442
8930,28.74013958,37.12833505,6.4466
8983,28.94360828,-60.86113753,6.1499
8991,28.95937689,-78.34867735,6.254
8993,28.96263319,23.57734291,5.9283
8998,28.97391414,1.84951924,6.1364
9001,28.97697378,37.27780086,6.0032
9007,28.98680221,-51.60958691,3.8511
9009,29.00001598,68.68526519,4.9527
9021,29.03845779,37.25180399,5.8529
9022,29.03914719,-49.83647994,6.3495
9061,29.16732764,-22.52671161,5.0531
9085,29.24856743,-51.76685032,6.2027
9095,29.2916362,-47.38529908,4.9864
9110,29.33763943,17.81758918,5.2589
9132,29.4322307,27.80452392,5.9114
9153,29.48239741,23.59609596,4.8582
9220,29.63840754,61.69781628,6.011
9222,29.63958207,49.2042521,5.8612
9236,29.69113173,-61.56992473,2.9305
9295,29.85783594,12.29495718,6.1511
9307,29.89831406,21.05860482,6.0588
9312,29.90828955,64.62163887,5.2961
9313,29.91189296,-42.03028936,5.7343
9318,29.92116556,-66.06657316,6.2589
9326,29.9424513,-20.82457561,5.5194
9347,30.00093673,-21.07777206,4.1012
9353,30.03760311,3.09763537,6.0086
9372,30.11154959,-8.52382604,5.3545
9440,30.31165162,-30.00156552,5.5008
9459,30.42667645,-44.71339059,5.2658
9480,30.48979025,70.90704624,4.5498
9487,30.51166985,2.76376128,3.8281
9505,30.57530927,54.48754927,4.9807
9521,30.61781134,-29.66566513,6.4616
9533,30.64615791,13.47672774,6.029
9562,30.71566982,-23.88655072,6.4505
9564,30.71872448,64.90149398,6.0162
9568,30.73767607,77.91627531,6.2088
9570,30.74152889,33.28415125,5.5314
9572,30.7439731,-15.30594989,6.0337
9573,30.75078599,64.39002286,5.6907
9586,30.7937791,73.85056537,6.1794
9589,30.79835728,0.12845405,5.4819
9598,30.8591264,72.42123962,3.9602
9621,30.91359348,25.93544862,5.7591
9622,30.91868528,-4.10336419,5.7274
9627,30.92755691,18.25328854,6.3661
9631,30.95051277,-0.34014628,6.0997
9640,30.97466207,42.32984825,2.2409
9677,31.12262522,-29.29683943,4.6405
9727,31.2793896,77.28145622,5.3539
9763,31.38157429,76.11511014,5.3823
9809,31.55113159,8.24814268,6.3317
9827,31.62196124,0.03536888,6.4509
9836,31.64130245,22.64840425,5.0756
9859,31.70509574,25.70458864,6.0043
9884,31.79285751,23.46277747,2.1726
9977,32.12144141,37.85918341,4.8326
9990,32.16908635,58.42360506,5.8124
9999,32.1902818,-17.77910457,6.1362
